0,4
0,5
0,6
0,7
0,8
0,9
0,11
0,12
0,13
0,14
0,16
0,86
0,87
0,210
0,249
3,144
4,148
4,149
4,150
5,145
5,146
5,147
6,163
6,164
6,165
6,247
7,151
7,152
7,153
7,154
7,155
7,156
7,157
7,158
8,15
8,171
8,172
8,173
10,137
10,138
10,139
11,159
11,160
11,161
11,162
12,169
12,170
13,166
13,167
13,168
13,212
13,242
13,261
15,174
15,175
15,176
16,22
16,23
16,27
16,29
16,30
16,36
16,48
16,89
16,90
16,91
16,92
16,94
16,181
21,183
21,184
21,185
21,186
21,187
21,188
21,189
21,190
21,237
22,191
22,192
22,193
22,194
22,250
26,98
26,99
26,100
26,101
28,102
28,103
28,104
29,37
29,177
29,178
29,179
29,246
35,96
35,97
35,251
37,41
37,44
37,46
37,49
37,57
37,63
37,64
37,65
37,66
37,105
37,107
37,109
37,197
37,198
37,203
37,252
40,40
40,43
40,45
40,111
40,112
40,113
40,114
40,234
43,115
43,116
43,117
43,118
45,195
45,196
45,253
45,267
47,227
47,228
47,229
47,230
48,121
48,122
48,254
56,201
56,202
62,204
62,205
62,206
62,207
62,265
63,123
63,124
63,125
63,126
63,127
63,136
63,255
64,208
64,209
64,256
65,119
65,120
65,262
65,263
66,79
66,216
66,220
66,223
78,214
78,215
78,257
84,88
85,3
85,140
85,141
85,142
85,143
86,2
86,128
86,129
86,130
86,131
86,132
86,133
86,134
86,135
86,259
86,266
87,231
87,232
87,233
88,18
88,19
88,213
89,20
89,21
89,180
89,182
90,31
90,32
90,33
90,34
90,235
91,28
91,35
91,93
93,24
93,25
93,26
93,95
93,258
104,50
104,54
104,106
106,51
106,53
106,108
106,238
108,42
108,52
108,110
108,236
180,243
180,244
180,245
196,39
196,55
197,47
197,56
197,199
197,200
202,58
202,59
202,60
202,61
202,62
209,10
209,211
215,68
215,69
215,80
215,217
215,218
215,219
219,70
219,71
219,72
219,73
219,74
219,75
219,81
219,82
219,83
219,84
219,221
219,222
219,264
222,76
222,77
222,78
222,224
222,225
222,226
238,240
239,241
259,239
